phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part3,tennis,0,background_preservation,34.95438107662969,0.9367359764254867,94440
part3,tennis,1,background_preservation,34.194908930475584,0.9308896380207458,95231
part3,tennis,10,background_preservation,34.2461963865809,0.9223328979551524,95038
part3,tennis,11,background_preservation,34.050696404540055,0.9196762757101722,95340
part3,tennis,12,background_preservation,34.153559424846556,0.9216184498544495,95374
part3,tennis,13,background_preservation,33.830574382924986,0.9187872552458729,93923
part3,tennis,14,background_preservation,33.72900527302179,0.9175516922918858,93359
part3,tennis,15,background_preservation,33.911514840632876,0.9206111269909703,92899
part3,tennis,16,background_preservation,34.32339533067391,0.9229760579124878,92440
part3,tennis,17,background_preservation,34.86772078852019,0.9278059622577667,92110
part3,tennis,18,background_preservation,34.7202733037135,0.9252117117942816,92061
part3,tennis,19,background_preservation,34.910259861233115,0.9289275491751567,91809
part3,tennis,2,background_preservation,34.09104852738022,0.9289011401009025,95118
part3,tennis,20,background_preservation,35.0151214334012,0.9297360698707972,91979
part3,tennis,21,background_preservation,35.14976193874585,0.9316696729553188,92320
part3,tennis,22,background_preservation,34.95093445044702,0.9323612664685776,92540
part3,tennis,23,background_preservation,35.305560326852266,0.9345579915003216,93304
part3,tennis,24,background_preservation,35.17652449518833,0.9344940633132334,91843
part3,tennis,25,background_preservation,35.60990587214117,0.9380961627569941,91957
part3,tennis,26,background_preservation,34.812815923653204,0.9324843642621241,93464
part3,tennis,27,background_preservation,35.11832646679909,0.9366192248494496,93331
part3,tennis,28,background_preservation,34.489943599533746,0.928075762570761,92773
part3,tennis,29,background_preservation,35.03296805816223,0.9314949151801725,92271
part3,tennis,3,background_preservation,34.0628262118822,0.9260860271549528,95159
part3,tennis,30,background_preservation,34.60455137038405,0.9329217331477269,91862
part3,tennis,31,background_preservation,34.25368152198361,0.925857973144205,91108
part3,tennis,32,background_preservation,34.18652538450244,0.92473614885505,90626
part3,tennis,33,background_preservation,34.9611935367319,0.9322122146912766,90614
part3,tennis,34,background_preservation,33.923678797980465,0.9224375929503282,90908
part3,tennis,35,background_preservation,34.07207040348712,0.9235636405616524,90517
part3,tennis,36,background_preservation,33.921134209146686,0.9226533692267652,90299
part3,tennis,37,background_preservation,34.59351383090493,0.9269857236918828,89702
part3,tennis,38,background_preservation,34.06089435432068,0.9238858708946321,89509
part3,tennis,39,background_preservation,34.02601544338457,0.9242524866579155,89206
part3,tennis,4,background_preservation,34.5650548219633,0.930145101074869,95340
part3,tennis,40,background_preservation,34.154807307512996,0.9235369077554878,89230
part3,tennis,41,background_preservation,34.42695233190268,0.9262904229222094,89139
part3,tennis,42,background_preservation,33.9279270890095,0.9236448558043385,89645
part3,tennis,43,background_preservation,34.038674880187415,0.9238315775907848,90167
part3,tennis,44,background_preservation,33.98497952689897,0.9221247991871161,90522
part3,tennis,45,background_preservation,34.40994999463682,0.9257475769411188,92044
part3,tennis,46,background_preservation,33.90137167771062,0.9238757459267196,91563
part3,tennis,47,background_preservation,34.112874602786185,0.9248864861809661,91124
part3,tennis,48,background_preservation,34.00263122945876,0.9240175008176527,90737
part3,tennis,49,background_preservation,34.498947004101986,0.9284349072811378,91433
part3,tennis,5,background_preservation,33.49403482995399,0.9178762115898779,96056
part3,tennis,50,background_preservation,34.346372308960866,0.9292922101413458,92588
part3,tennis,51,background_preservation,34.407813333152674,0.929802466126164,92657
part3,tennis,52,background_preservation,34.45099699840712,0.9288219130514163,92845
part3,tennis,53,background_preservation,34.81776485004118,0.9321193356104517,92287
part3,tennis,54,background_preservation,34.34706994675875,0.9284473557098093,92113
part3,tennis,55,background_preservation,34.520358903867205,0.9273345815458957,92251
part3,tennis,56,background_preservation,34.20643671271744,0.9247238516428882,92309
part3,tennis,57,background_preservation,34.46940306830494,0.928083542658932,92705
part3,tennis,58,background_preservation,33.94611741023194,0.9228755560763247,93511
part3,tennis,59,background_preservation,33.74385389090131,0.920365836807218,94230
part3,tennis,6,background_preservation,33.98837478256778,0.9247282403965715,95787
part3,tennis,60,background_preservation,34.113789987251494,0.9240652018845521,93655
part3,tennis,61,background_preservation,33.69617467315375,0.9185876457554575,93924
part3,tennis,62,background_preservation,33.742635340047194,0.9186247481582226,94356
part3,tennis,63,background_preservation,33.36913884316286,0.9154408987355832,94817
part3,tennis,64,background_preservation,33.70761716872791,0.9184481208401666,94528
part3,tennis,65,background_preservation,33.119347774644154,0.9114331579139092,93588
part3,tennis,66,background_preservation,33.24460596610295,0.9106341349326206,93672
part3,tennis,67,background_preservation,32.8476610599506,0.9039000467688413,93830
part3,tennis,68,background_preservation,33.033937747155846,0.9061978583655741,94237
part3,tennis,69,background_preservation,32.5907885191356,0.899101994876406,94723
part3,tennis,7,background_preservation,33.51874741924246,0.9168074164076301,94837
part3,tennis,8,background_preservation,34.410634812093605,0.9255850984976215,94625
part3,tennis,9,background_preservation,33.62091795920135,0.9178919474009969,94777
part3,tennis,mean,background_preservation,34.21557495618158,0.9244990465973763,
