phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part3,wild_video_frames,0,background_preservation,22.372940105934063,0.4756944625888546,409920
part3,wild_video_frames,1,background_preservation,22.372567222954903,0.4755736774245213,409920
part3,wild_video_frames,2,background_preservation,22.372354829871238,0.47561684148833994,409920
part3,wild_video_frames,3,background_preservation,22.36568041041504,0.4753688083399148,409920
part3,wild_video_frames,4,background_preservation,22.275917963895782,0.47262596971888315,409920
part3,wild_video_frames,5,background_preservation,22.233802622210874,0.4706333421634236,409920
part3,wild_video_frames,6,background_preservation,22.238110296890845,0.47144456786084826,409920
part3,wild_video_frames,7,background_preservation,22.21617892809612,0.47026560232766473,409920
part3,wild_video_frames,8,background_preservation,22.208445982717347,0.4702942028341354,409920
part3,wild_video_frames,9,background_preservation,22.20321385791638,0.4696446936014848,409920
part3,wild_video_frames,10,background_preservation,22.233145591775596,0.4725972541103007,409920
part3,wild_video_frames,11,background_preservation,22.169390882116954,0.46969609382864025,403292
part3,wild_video_frames,12,background_preservation,22.16790239554201,0.4715358334246805,398280
part3,wild_video_frames,13,background_preservation,22.143461637000655,0.4682086915774897,393123
part3,wild_video_frames,14,background_preservation,22.18561957977541,0.4652191303021421,387548
part3,wild_video_frames,15,background_preservation,22.128905553993647,0.4577106121250792,381614
part3,wild_video_frames,16,background_preservation,22.106292916227336,0.4517787315247871,375702
part3,wild_video_frames,17,background_preservation,22.02953840068086,0.44078352605073484,370448
part3,wild_video_frames,18,background_preservation,22.00712658987863,0.4345152959649803,366184
part3,wild_video_frames,19,background_preservation,21.972462159454956,0.42707167838635296,363776
part3,wild_video_frames,20,background_preservation,21.962749137994827,0.42339130085087445,362741
part3,wild_video_frames,21,background_preservation,21.97705707232216,0.41492937024085164,362432
part3,wild_video_frames,22,background_preservation,21.95635126389374,0.40890467729291796,360302
part3,wild_video_frames,23,background_preservation,22.08452896971912,0.4178590717468303,365946
part3,wild_video_frames,24,background_preservation,22.122551101448263,0.42119605723667586,366135
part3,wild_video_frames,25,background_preservation,22.172493152831333,0.4206782266574912,366625
part3,wild_video_frames,26,background_preservation,22.23781574865606,0.4243423493129881,367543
part3,wild_video_frames,27,background_preservation,22.231091146366314,0.42288992742197984,366482
part3,wild_video_frames,28,background_preservation,21.5689746852892,0.42239111968750326,368835
part3,wild_video_frames,29,background_preservation,22.310264002450488,0.42752627826785616,372509
part3,wild_video_frames,30,background_preservation,22.40041702246781,0.43431342451983873,372717
part3,wild_video_frames,31,background_preservation,22.583444388486797,0.44799586174239864,372686
part3,wild_video_frames,32,background_preservation,22.79640641252204,0.4683291384784767,372779
part3,wild_video_frames,33,background_preservation,22.88488599125465,0.4758324926125697,372874
part3,wild_video_frames,34,background_preservation,22.997580480120906,0.48864787609933785,372444
part3,wild_video_frames,35,background_preservation,23.031653802869815,0.49819237306453396,372258
part3,wild_video_frames,36,background_preservation,23.130970733867816,0.509575024203967,371033
part3,wild_video_frames,37,background_preservation,23.059295168317426,0.503917202859099,374334
part3,wild_video_frames,38,background_preservation,23.49785485570514,0.5142606028780897,374027
part3,wild_video_frames,39,background_preservation,23.743768351082004,0.5271868376674844,365716
part3,wild_video_frames,40,background_preservation,23.50396923631512,0.5184228838148672,373656
part3,wild_video_frames,41,background_preservation,23.392722121777997,0.51515413032374,363778
part3,wild_video_frames,42,background_preservation,23.352292212266484,0.5136524382509283,365972
part3,wild_video_frames,43,background_preservation,23.249386660273423,0.511414225353841,364780
part3,wild_video_frames,44,background_preservation,23.27731539770585,0.5177936686701866,364835
part3,wild_video_frames,45,background_preservation,23.190414517319347,0.5107778187054142,364988
part3,wild_video_frames,46,background_preservation,22.889843646035867,0.5153683365774469,360533
part3,wild_video_frames,47,background_preservation,23.12082739826104,0.5073975023522482,370861
part3,wild_video_frames,48,background_preservation,23.166451599937613,0.5136305916000498,370204
part3,wild_video_frames,49,background_preservation,23.25200529807487,0.516920406502411,359822
part3,wild_video_frames,50,background_preservation,23.263924069756435,0.5195684779466525,355229
part3,wild_video_frames,51,background_preservation,23.19470487714887,0.5123118971882586,365526
part3,wild_video_frames,52,background_preservation,23.256311097658553,0.5209270771637763,363552
part3,wild_video_frames,53,background_preservation,23.341940022642437,0.5191576267488552,362057
part3,wild_video_frames,54,background_preservation,23.33056729704494,0.5159990966113693,365421
part3,wild_video_frames,55,background_preservation,23.251100476883394,0.5130154397115979,372167
part3,wild_video_frames,56,background_preservation,23.285267861306778,0.5143173575304955,378758
part3,wild_video_frames,57,background_preservation,23.238968701369178,0.5038879302435401,385251
part3,wild_video_frames,58,background_preservation,23.2690739633872,0.5012491628282822,391258
part3,wild_video_frames,59,background_preservation,23.201962466598033,0.49719183668724237,397253
part3,wild_video_frames,60,background_preservation,22.911842995698706,0.4890448171941688,401975
part3,wild_video_frames,61,background_preservation,23.184699241757095,0.491368180769514,405031
part3,wild_video_frames,62,background_preservation,23.203604118063893,0.4894444151298441,407995
part3,wild_video_frames,63,background_preservation,23.24374355611339,0.4915108338170897,409548
part3,wild_video_frames,64,background_preservation,23.30496515807218,0.4987524218023402,409920
part3,wild_video_frames,65,background_preservation,23.295245879387235,0.4947841171956215,409920
part3,wild_video_frames,66,background_preservation,23.33893725407279,0.49766642184655824,409920
part3,wild_video_frames,67,background_preservation,23.278517943207657,0.49146474419123193,409920
part3,wild_video_frames,68,background_preservation,23.256647043597688,0.5046837464616372,409920
part3,wild_video_frames,69,background_preservation,23.205834341093123,0.5004036779783718,409920
part3,wild_video_frames,70,background_preservation,23.199743309184363,0.5015212616861091,409920
part3,wild_video_frames,71,background_preservation,23.167909125086346,0.50193194718281,409920
part3,wild_video_frames,72,background_preservation,23.183923070969417,0.5062248347835929,409920
