phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part1,dance-twirl,0,background_preservation,35.413150573250874,0.9342471113420441,291155
part1,dance-twirl,1,background_preservation,33.20605863324897,0.9133335692963191,379117
part1,dance-twirl,10,background_preservation,33.6109865531603,0.9150987832820574,376200
part1,dance-twirl,11,background_preservation,33.22128438445138,0.9074742353301666,375237
part1,dance-twirl,12,background_preservation,33.54146723954818,0.9149087361052368,371476
part1,dance-twirl,13,background_preservation,32.75798548460146,0.9025705287165436,371325
part1,dance-twirl,14,background_preservation,33.08927072554837,0.9115563744939871,373796
part1,dance-twirl,15,background_preservation,33.128308075559026,0.9072508904664781,374001
part1,dance-twirl,16,background_preservation,33.739496223516916,0.9143528776072276,373170
part1,dance-twirl,17,background_preservation,33.336157070631806,0.9095075417830975,368071
part1,dance-twirl,18,background_preservation,33.09901408814393,0.9065943833804574,373778
part1,dance-twirl,19,background_preservation,33.87291741071032,0.9209030542379394,374483
part1,dance-twirl,2,background_preservation,33.17838256442446,0.915823086832421,376715
part1,dance-twirl,20,background_preservation,34.09037589931926,0.9201651009742177,376092
part1,dance-twirl,21,background_preservation,34.37072967501383,0.9184913678154643,366742
part1,dance-twirl,22,background_preservation,33.80652756780198,0.9170633608250058,368032
part1,dance-twirl,23,background_preservation,32.5674233622223,0.8994702379452838,376256
part1,dance-twirl,24,background_preservation,34.067455608153544,0.9174168052187204,381697
part1,dance-twirl,25,background_preservation,34.4578480607598,0.9263092301078536,374059
part1,dance-twirl,26,background_preservation,34.40501241417359,0.923123164431288,372626
part1,dance-twirl,27,background_preservation,34.4587319363979,0.9278817576434175,372856
part1,dance-twirl,28,background_preservation,34.27770938235537,0.9349166490391501,376432
part1,dance-twirl,29,background_preservation,33.748066271350055,0.9246802621740745,374754
part1,dance-twirl,3,background_preservation,32.53632272900626,0.9032134935952506,376413
part1,dance-twirl,30,background_preservation,34.360259158057126,0.9318212429626216,372653
part1,dance-twirl,31,background_preservation,33.55297683667797,0.9188513737947192,372605
part1,dance-twirl,32,background_preservation,33.89739780087123,0.9261812469273725,372091
part1,dance-twirl,33,background_preservation,34.11213412722036,0.9279935398035105,370243
part1,dance-twirl,34,background_preservation,34.52014557296663,0.9369764674151424,371190
part1,dance-twirl,35,background_preservation,34.67887973133167,0.9382687634566438,375909
part1,dance-twirl,36,background_preservation,34.646708964303485,0.9382083835083775,379186
part1,dance-twirl,37,background_preservation,32.53617285143875,0.9078235287843692,376016
part1,dance-twirl,38,background_preservation,31.715308999590096,0.9049203827902654,375518
part1,dance-twirl,39,background_preservation,32.34592878060984,0.9151106744389634,378222
part1,dance-twirl,4,background_preservation,33.01205919487007,0.911161004399232,377538
part1,dance-twirl,40,background_preservation,34.46646929060678,0.9501025480615102,376272
part1,dance-twirl,41,background_preservation,33.05182632348603,0.9271032645843801,374904
part1,dance-twirl,42,background_preservation,32.703516506385625,0.9274003989103481,371546
part1,dance-twirl,43,background_preservation,32.66078439486755,0.9266192391781565,367994
part1,dance-twirl,44,background_preservation,33.862913070775,0.940412103306913,366568
part1,dance-twirl,45,background_preservation,32.55627554705846,0.9222885971309073,365900
part1,dance-twirl,46,background_preservation,31.62073933579138,0.9115733181692963,365116
part1,dance-twirl,47,background_preservation,31.339886512243122,0.9049458563663018,366939
part1,dance-twirl,48,background_preservation,33.32536572046003,0.9298289508980556,367556
part1,dance-twirl,49,background_preservation,33.5583654996654,0.927589351020731,367636
part1,dance-twirl,5,background_preservation,32.7827391778034,0.9062610708190072,380085
part1,dance-twirl,50,background_preservation,34.18003397940963,0.9351316136376678,367373
part1,dance-twirl,51,background_preservation,33.79599137857257,0.932617777180609,364697
part1,dance-twirl,52,background_preservation,33.749157224416976,0.931575299787108,363686
part1,dance-twirl,53,background_preservation,33.50120491226116,0.9273118089796824,364948
part1,dance-twirl,54,background_preservation,34.47937393201633,0.9483151840233311,369644
part1,dance-twirl,55,background_preservation,32.77289042703268,0.9286862535124891,370644
part1,dance-twirl,56,background_preservation,33.163886354330415,0.9357023024224289,371328
part1,dance-twirl,57,background_preservation,33.08454090065102,0.9324725239944612,372091
part1,dance-twirl,58,background_preservation,34.259380055198214,0.9512592391897297,372607
part1,dance-twirl,59,background_preservation,32.16409661797004,0.9240768834224146,371872
part1,dance-twirl,6,background_preservation,33.42501805464879,0.914503387425605,379978
part1,dance-twirl,60,background_preservation,32.814066474660095,0.9318693576350486,370841
part1,dance-twirl,61,background_preservation,32.63274659276455,0.9281833406880435,369851
part1,dance-twirl,62,background_preservation,33.84983448490901,0.9483962517421032,367251
part1,dance-twirl,63,background_preservation,32.576875518458934,0.9280867165765678,366401
part1,dance-twirl,64,background_preservation,32.81162672538821,0.9312303986289799,366069
part1,dance-twirl,65,background_preservation,32.51262414306131,0.9276305759422345,366010
part1,dance-twirl,66,background_preservation,33.63501849113937,0.9440954180537112,366158
part1,dance-twirl,67,background_preservation,32.67085453180807,0.9283084301867428,366204
part1,dance-twirl,68,background_preservation,32.66394357540598,0.9268578231295729,365722
part1,dance-twirl,69,background_preservation,33.21588324629363,0.9326014648894985,365170
part1,dance-twirl,7,background_preservation,32.79868349507116,0.9016901732095435,380028
part1,dance-twirl,70,background_preservation,33.783443117398285,0.9385110613404549,363725
part1,dance-twirl,71,background_preservation,33.17216695943119,0.9315465729814428,362085
part1,dance-twirl,72,background_preservation,33.377791409375206,0.9334929339548508,360496
part1,dance-twirl,73,background_preservation,33.039228758217305,0.9301355497093057,358770
part1,dance-twirl,74,background_preservation,33.793801876320515,0.9350947017747949,356807
part1,dance-twirl,75,background_preservation,33.12688323775736,0.9257795202482823,355068
part1,dance-twirl,76,background_preservation,32.2403806751224,0.9178684821088232,353940
part1,dance-twirl,77,background_preservation,32.00414895942207,0.9146693556129907,352561
part1,dance-twirl,78,background_preservation,33.18753364033245,0.9276434637634512,352126
part1,dance-twirl,79,background_preservation,32.476911702812465,0.9189726070519574,351769
part1,dance-twirl,8,background_preservation,33.13656544201384,0.912544652866561,379550
part1,dance-twirl,80,background_preservation,32.34542576838532,0.9193224108378572,351088
part1,dance-twirl,81,background_preservation,32.019265513061974,0.9133549842909234,349456
part1,dance-twirl,82,background_preservation,32.729108435621754,0.9211430905033826,348218
part1,dance-twirl,83,background_preservation,32.38554236086813,0.9088841003709838,347989
part1,dance-twirl,84,background_preservation,32.7995504239275,0.9132802979559381,347920
part1,dance-twirl,85,background_preservation,32.980715362227826,0.9209170764786256,349342
part1,dance-twirl,86,background_preservation,32.614930396824356,0.9014312701039129,351061
part1,dance-twirl,87,background_preservation,33.29397949228886,0.9188760229344279,347481
part1,dance-twirl,88,background_preservation,33.155777681231555,0.904854949399376,349462
part1,dance-twirl,89,background_preservation,32.80094057397024,0.9014890135665423,353164
part1,dance-twirl,9,background_preservation,33.01820421576699,0.8962626801894237,377691
part1,dance-twirl,mean,background_preservation,33.2614173605364,0.9223830103519156,
