phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part3,dance-twirl,0,00000.png,00000.png,0.9181587802750197,22101,24071
part3,dance-twirl,1,00001.png,00001.png,0.9169028913906212,22642,24694
part3,dance-twirl,10,00010.png,00010.png,0.9328800388538125,28812,30885
part3,dance-twirl,11,00011.png,00011.png,0.9124135971972351,28908,31683
part3,dance-twirl,12,00012.png,00012.png,0.8785432529125768,28731,32703
part3,dance-twirl,13,00013.png,00013.png,0.9324603103417347,31188,33447
part3,dance-twirl,14,00014.png,00014.png,0.8425750860118402,27184,32263
part3,dance-twirl,15,00015.png,00015.png,0.852901442081121,27147,31829
part3,dance-twirl,16,00016.png,00016.png,0.8444529430170705,24289,28763
part3,dance-twirl,17,00017.png,00017.png,0.872136593657048,22577,25887
part3,dance-twirl,18,00018.png,00018.png,0.8649778850020104,21512,24870
part3,dance-twirl,19,00019.png,00019.png,0.9218587205667848,22120,23995
part3,dance-twirl,2,00002.png,00002.png,0.9260603669362794,23471,25345
part3,dance-twirl,20,00020.png,00020.png,0.910498473183949,21170,23251
part3,dance-twirl,21,00021.png,00021.png,0.8883904008126297,20990,23627
part3,dance-twirl,22,00022.png,00022.png,0.8777877276022344,20585,23451
part3,dance-twirl,23,00023.png,00023.png,0.8858613524744995,18759,21176
part3,dance-twirl,24,00024.png,00024.png,0.8783434379457917,19703,22432
part3,dance-twirl,25,00025.png,00025.png,0.8886299105818536,20969,23597
part3,dance-twirl,26,00026.png,00026.png,0.9102032351721278,21945,24110
part3,dance-twirl,27,00027.png,00027.png,0.9086566696683763,23208,25541
part3,dance-twirl,28,00028.png,00028.png,0.9141601636487613,24132,26398
part3,dance-twirl,29,00029.png,00029.png,0.8950382996342557,25940,28982
part3,dance-twirl,3,00003.png,00003.png,0.8899149360104223,23225,26098
part3,dance-twirl,30,00030.png,00030.png,0.9099036224659355,27379,30090
part3,dance-twirl,31,00031.png,00031.png,0.9060633601661906,27914,30808
part3,dance-twirl,32,00032.png,00032.png,0.8710569829559909,27393,31448
part3,dance-twirl,33,00033.png,00033.png,0.8672827863699233,27590,31812
part3,dance-twirl,34,00034.png,00034.png,0.8805595294865681,27698,31455
part3,dance-twirl,35,00035.png,00035.png,0.8343417483830586,23994,28758
part3,dance-twirl,36,00036.png,00036.png,0.8537669974274164,23231,27210
part3,dance-twirl,37,00037.png,00037.png,0.8929764601973811,23254,26041
part3,dance-twirl,38,00038.png,00038.png,0.7835780939268778,20489,26148
part3,dance-twirl,39,00039.png,00039.png,0.835039663706014,24632,29498
part3,dance-twirl,4,00004.png,00004.png,0.9155384615384615,23804,26000
part3,dance-twirl,40,00040.png,00040.png,0.8661181514406405,27475,31722
part3,dance-twirl,41,00041.png,00041.png,0.753511339779414,25483,33819
part3,dance-twirl,42,00042.png,00042.png,0.9245645316143191,33705,36455
part3,dance-twirl,43,00043.png,00043.png,0.7536292867662528,28656,38024
part3,dance-twirl,44,00044.png,00044.png,0.6946507204460772,26660,38379
part3,dance-twirl,45,00045.png,00045.png,0.7938815531442018,30362,38245
part3,dance-twirl,46,00046.png,00046.png,0.7349075167256985,28011,38115
part3,dance-twirl,47,00047.png,00047.png,0.8054773082942097,30882,38340
part3,dance-twirl,48,00048.png,00048.png,0.8767494356659142,34956,39870
part3,dance-twirl,49,00049.png,00049.png,0.8765803425774877,34390,39232
part3,dance-twirl,5,00005.png,00005.png,0.8661440725192258,23314,26917
part3,dance-twirl,50,00050.png,00050.png,0.9071188355197289,35335,38953
part3,dance-twirl,51,00051.png,00051.png,0.8875099976779587,34399,38759
part3,dance-twirl,52,00052.png,00052.png,0.8847533399178666,34040,38474
part3,dance-twirl,53,00053.png,00053.png,0.8847203625502111,34359,38836
part3,dance-twirl,54,00054.png,00054.png,0.903436049846186,34654,38358
part3,dance-twirl,55,00055.png,00055.png,0.9027075275215709,33374,36971
part3,dance-twirl,56,00056.png,00056.png,0.8873490397941002,31374,35357
part3,dance-twirl,57,00057.png,00057.png,0.9329444363424239,31986,34285
part3,dance-twirl,58,00058.png,00058.png,0.9175272855298674,31273,34084
part3,dance-twirl,59,00059.png,00059.png,0.9154706348507529,31191,34071
part3,dance-twirl,6,00006.png,00006.png,0.9184099624131516,24190,26339
part3,dance-twirl,60,00060.png,00060.png,0.9205977313637532,32220,34999
part3,dance-twirl,61,00061.png,00061.png,0.9421451551338678,34556,36678
part3,dance-twirl,62,00062.png,00062.png,0.9161575426818961,37939,41411
part3,dance-twirl,63,00063.png,00063.png,0.9035644878418733,38125,42194
part3,dance-twirl,64,00064.png,00064.png,0.8998696219035202,37961,42185
part3,dance-twirl,65,00065.png,00065.png,0.9123533636581278,38109,41770
part3,dance-twirl,66,00066.png,00066.png,0.9440272528346927,37965,40216
part3,dance-twirl,67,00067.png,00067.png,0.9372226216745593,37801,40333
part3,dance-twirl,68,00068.png,00068.png,0.9443464433898979,38009,40249
part3,dance-twirl,69,00069.png,00069.png,0.948065023082212,38609,40724
part3,dance-twirl,7,00007.png,00007.png,0.9450134770889488,24542,25970
part3,dance-twirl,70,00070.png,00070.png,0.9554538483657625,39873,41732
part3,dance-twirl,71,00071.png,00071.png,0.9506511775650043,41899,44074
part3,dance-twirl,72,00072.png,00072.png,0.9422356732276607,43275,45928
part3,dance-twirl,73,00073.png,00073.png,0.9420162987973906,45197,47979
part3,dance-twirl,74,00074.png,00074.png,0.950256533589867,47414,49896
part3,dance-twirl,75,00075.png,00075.png,0.9413440073897313,48916,51964
part3,dance-twirl,76,00076.png,00076.png,0.9524550224887556,50823,53360
part3,dance-twirl,77,00077.png,00077.png,0.9533788858561248,52044,54589
part3,dance-twirl,78,00078.png,00078.png,0.9641487379917449,52791,54754
part3,dance-twirl,79,00079.png,00079.png,0.9660727272727273,53134,55000
part3,dance-twirl,8,00008.png,00008.png,0.9384694552672205,25532,27206
part3,dance-twirl,80,00080.png,00080.png,0.9671240199572345,54275,56120
part3,dance-twirl,81,00081.png,00081.png,0.9718633562001602,55818,57434
part3,dance-twirl,82,00082.png,00082.png,0.969628586456725,57147,58937
part3,dance-twirl,83,00083.png,00083.png,0.9583595999522941,56249,58693
part3,dance-twirl,84,00084.png,00084.png,0.8723960159921442,49751,57028
part3,dance-twirl,85,00085.png,00085.png,0.9261735368774803,51812,55942
part3,dance-twirl,86,00086.png,00086.png,0.9149736359684766,48414,52913
part3,dance-twirl,87,00087.png,00087.png,0.9464374837795213,47408,50091
part3,dance-twirl,88,00088.png,00088.png,0.9443340774571446,46109,48827
part3,dance-twirl,89,00089.png,00089.png,0.9378634639696587,44511,47460
part3,dance-twirl,9,00009.png,00009.png,0.9371792721784337,27942,29815
part3,dance-twirl,mean,90,90,0.8990917121088194,,
