phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part2,bmx-trees,0,background_preservation,32.06547175926153,0.8740679147908786,98541
part2,bmx-trees,1,background_preservation,32.09574769852796,0.8740097346389718,98518
part2,bmx-trees,10,background_preservation,32.35204468784465,0.8781863927016046,98244
part2,bmx-trees,11,background_preservation,32.614181526383035,0.884027395657914,98355
part2,bmx-trees,12,background_preservation,32.65281856321705,0.8833063941071034,98390
part2,bmx-trees,13,background_preservation,32.45634834508491,0.8834958525373328,99044
part2,bmx-trees,14,background_preservation,32.35844478370128,0.8874305092521789,99734
part2,bmx-trees,15,background_preservation,32.227702083305154,0.8847918227686428,100278
part2,bmx-trees,16,background_preservation,32.40451289121512,0.8824759014390223,100437
part2,bmx-trees,17,background_preservation,32.88182026379424,0.8907417977046556,100695
part2,bmx-trees,18,background_preservation,32.79767832766213,0.8892663157150101,100415
part2,bmx-trees,19,background_preservation,32.6850550217911,0.8880170648941486,100616
part2,bmx-trees,2,background_preservation,31.943545796024402,0.8690498439456111,98650
part2,bmx-trees,20,background_preservation,32.67210363341463,0.8884123708949347,100695
part2,bmx-trees,21,background_preservation,32.338700347144176,0.8850170827691672,100345
part2,bmx-trees,22,background_preservation,32.082675504459,0.8812075244947256,100151
part2,bmx-trees,23,background_preservation,32.46304292830805,0.8862405434537245,100115
part2,bmx-trees,24,background_preservation,32.5265076629037,0.8892519527660164,100050
part2,bmx-trees,25,background_preservation,32.39564880079159,0.8898448060557983,100052
part2,bmx-trees,26,background_preservation,32.13826922082255,0.8886826125003774,99929
part2,bmx-trees,27,background_preservation,31.645181332800597,0.8835608385208142,99960
part2,bmx-trees,28,background_preservation,31.15636249606754,0.8797453339432502,99770
part2,bmx-trees,29,background_preservation,31.02079800106325,0.880721932268923,99815
part2,bmx-trees,3,background_preservation,31.788932311665725,0.8656085273337419,98747
part2,bmx-trees,30,background_preservation,31.612473885574722,0.8905990904495604,99692
part2,bmx-trees,31,background_preservation,31.983671244159424,0.8921894360969149,99642
part2,bmx-trees,32,background_preservation,31.862848740867825,0.8896791570476575,99895
part2,bmx-trees,33,background_preservation,30.998334063539218,0.8808664120942714,99836
part2,bmx-trees,34,background_preservation,28.768001865188335,0.8529629456629356,99906
part2,bmx-trees,35,background_preservation,29.460848947168788,0.868365674395916,99974
part2,bmx-trees,36,background_preservation,30.476972452926375,0.8860069823759534,100128
part2,bmx-trees,37,background_preservation,30.709533326693084,0.8866684037355781,100348
part2,bmx-trees,38,background_preservation,30.283356581339447,0.8791629812652673,100498
part2,bmx-trees,39,background_preservation,29.93516068452282,0.8718562470314516,100634
part2,bmx-trees,4,background_preservation,31.724767346694286,0.8636604279244805,98904
part2,bmx-trees,40,background_preservation,29.588492855233955,0.8651075434159484,100802
part2,bmx-trees,41,background_preservation,29.93409880584227,0.871987193730657,100829
part2,bmx-trees,42,background_preservation,30.39889262016429,0.8769277917916887,100849
part2,bmx-trees,43,background_preservation,30.667879795942895,0.8812428865978443,100821
part2,bmx-trees,44,background_preservation,30.425738553504893,0.8781927411169266,100840
part2,bmx-trees,45,background_preservation,30.37444370738071,0.8765615580787267,100823
part2,bmx-trees,46,background_preservation,29.75262672193007,0.8637246168583498,100937
part2,bmx-trees,47,background_preservation,30.12865817340154,0.8748321596047471,100868
part2,bmx-trees,48,background_preservation,30.312710620391414,0.876338873420201,100877
part2,bmx-trees,49,background_preservation,30.46619902455364,0.8773255151321705,100968
part2,bmx-trees,5,background_preservation,31.69413914846569,0.8650762470433668,98770
part2,bmx-trees,50,background_preservation,30.000141539713958,0.8728460430494503,101191
part2,bmx-trees,51,background_preservation,28.741147734327715,0.838799357803118,101252
part2,bmx-trees,52,background_preservation,28.25493595064792,0.8231277089783405,101541
part2,bmx-trees,53,background_preservation,29.29475801436383,0.8533954612588568,101818
part2,bmx-trees,54,background_preservation,30.71034206686959,0.8778468125818844,101900
part2,bmx-trees,55,background_preservation,31.30925446596518,0.8851911497871551,102025
part2,bmx-trees,56,background_preservation,30.658495444797218,0.8711851484430883,102251
part2,bmx-trees,57,background_preservation,28.0370711343362,0.7972231687811284,102385
part2,bmx-trees,58,background_preservation,27.484249690004802,0.7774467702967006,102342
part2,bmx-trees,59,background_preservation,28.039004934580262,0.7968413409704566,102258
part2,bmx-trees,6,background_preservation,31.70456609856501,0.8690217655031838,98425
part2,bmx-trees,60,background_preservation,30.63477343729583,0.8683339097509473,102291
part2,bmx-trees,61,background_preservation,31.086816480447155,0.8771077213855546,102347
part2,bmx-trees,62,background_preservation,30.781713856773848,0.8726993718926772,102531
part2,bmx-trees,63,background_preservation,27.789121611846348,0.7928996709550477,102319
part2,bmx-trees,64,background_preservation,28.078270459632613,0.8004779468440879,102354
part2,bmx-trees,65,background_preservation,28.398515849841225,0.8100198775216663,102488
part2,bmx-trees,66,background_preservation,28.544499638813452,0.8123747717221871,102772
part2,bmx-trees,67,background_preservation,28.794782859054905,0.8194738414657873,102790
part2,bmx-trees,68,background_preservation,28.322984134381027,0.8004278470869897,102984
part2,bmx-trees,69,background_preservation,28.150686627654007,0.7957788055262376,102673
part2,bmx-trees,7,background_preservation,31.756650992300983,0.8693141692286803,98274
part2,bmx-trees,70,background_preservation,28.274731718797383,0.8007536290441417,102483
part2,bmx-trees,71,background_preservation,28.1069579044078,0.7937625872945372,102232
part2,bmx-trees,72,background_preservation,28.12590231915683,0.7928942346575935,102146
part2,bmx-trees,73,background_preservation,28.120023297469075,0.788450665389839,102104
part2,bmx-trees,74,background_preservation,28.062144248199584,0.7822408293590685,102173
part2,bmx-trees,75,background_preservation,28.174165827532853,0.7859456801409344,102210
part2,bmx-trees,76,background_preservation,28.205623408008996,0.7855824957502868,102302
part2,bmx-trees,77,background_preservation,28.19345672226592,0.7860012119131738,102262
part2,bmx-trees,78,background_preservation,27.913445027179137,0.7726583723726104,102247
part2,bmx-trees,79,background_preservation,27.812354819866588,0.7691313954899845,102297
part2,bmx-trees,8,background_preservation,31.76109576154557,0.8723548155408186,98214
part2,bmx-trees,9,background_preservation,32.52850361125745,0.8755676256523931,98183
part2,bmx-trees,mean,background_preservation,30.46468288550799,0.8555458944182972,
