phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part2,bmx-trees,0,00000.png,00000.png,0.6596614127262114,3390,5139
part2,bmx-trees,1,00001.png,00001.png,0.6652460286710578,3434,5162
part2,bmx-trees,10,00010.png,00010.png,0.6561810154525386,3567,5436
part2,bmx-trees,11,00011.png,00011.png,0.667793427230047,3556,5325
part2,bmx-trees,12,00012.png,00012.png,0.6519848771266541,3449,5290
part2,bmx-trees,13,00013.png,00013.png,0.681190681622088,3158,4636
part2,bmx-trees,14,00014.png,00014.png,0.6900658895083629,2723,3946
part2,bmx-trees,15,00015.png,00015.png,0.6293356848912405,2141,3402
part2,bmx-trees,16,00016.png,00016.png,0.547641073080481,1776,3243
part2,bmx-trees,17,00017.png,00017.png,0.5400335008375209,1612,2985
part2,bmx-trees,18,00018.png,00018.png,0.5886676875957121,1922,3265
part2,bmx-trees,19,00019.png,00019.png,0.7529373368146214,2307,3064
part2,bmx-trees,2,00002.png,00002.png,0.6789264413518886,3415,5030
part2,bmx-trees,20,00020.png,00020.png,0.7283082077051927,2174,2985
part2,bmx-trees,21,00021.png,00021.png,0.6749625187406297,2251,3335
part2,bmx-trees,22,00022.png,00022.png,0.6387078492490791,2254,3529
part2,bmx-trees,23,00023.png,00023.png,0.6785413744740533,2419,3565
part2,bmx-trees,24,00024.png,00024.png,0.7286501377410468,2645,3630
part2,bmx-trees,25,00025.png,00025.png,0.6846747519294377,2484,3628
part2,bmx-trees,26,00026.png,00026.png,0.6587576646227673,2471,3751
part2,bmx-trees,27,00027.png,00027.png,0.6516129032258065,2424,3720
part2,bmx-trees,28,00028.png,00028.png,0.6184143222506394,2418,3910
part2,bmx-trees,29,00029.png,00029.png,0.6297542043984476,2434,3865
part2,bmx-trees,3,00003.png,00003.png,0.6975471315629435,3441,4933
part2,bmx-trees,30,00030.png,00030.png,0.607321965897693,2422,3988
part2,bmx-trees,31,00031.png,00031.png,0.6292719167904903,2541,4038
part2,bmx-trees,32,00032.png,00032.png,0.6885072655217965,2606,3785
part2,bmx-trees,33,00033.png,00033.png,0.6610301768990635,2541,3844
part2,bmx-trees,34,00034.png,00034.png,0.6218865924748278,2347,3774
part2,bmx-trees,35,00035.png,00035.png,0.6036157582298974,2237,3706
part2,bmx-trees,36,00036.png,00036.png,0.6154279279279279,2186,3552
part2,bmx-trees,37,00037.png,00037.png,0.6116446578631453,2038,3332
part2,bmx-trees,38,00038.png,00038.png,0.6401634192331866,2037,3182
part2,bmx-trees,39,00039.png,00039.png,0.6569271175311885,2001,3046
part2,bmx-trees,4,00004.png,00004.png,0.7303182579564489,3488,4776
