phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part2,tennis,0,00000.png,00000.png,0.5006493506493507,4626,9240
part2,tennis,1,00001.png,00001.png,0.5455083441827435,4609,8449
part2,tennis,10,00010.png,00010.png,0.5615598241147882,4853,8642
part2,tennis,11,00011.png,00011.png,0.5725419664268585,4775,8340
part2,tennis,12,00012.png,00012.png,0.5763303635925837,4787,8306
part2,tennis,13,00013.png,00013.png,0.5605206518397048,5469,9757
part2,tennis,14,00014.png,00014.png,0.547718244356167,5653,10321
part2,tennis,15,00015.png,00015.png,0.5111770707726556,5511,10781
part2,tennis,16,00016.png,00016.png,0.5120996441281139,5756,11240
part2,tennis,17,00017.png,00017.png,0.508038029386344,5878,11570
part2,tennis,18,00018.png,00018.png,0.5281865909286514,6137,11619
part2,tennis,19,00019.png,00019.png,0.5528599107067644,6563,11871
part2,tennis,2,00002.png,00002.png,0.548743246417665,4672,8514
part2,tennis,20,00020.png,00020.png,0.5834544056063584,6827,11701
part2,tennis,21,00021.png,00021.png,0.6373239436619719,7240,11360
part2,tennis,22,00022.png,00022.png,0.5974865350089766,6656,11140
part2,tennis,23,00023.png,00023.png,0.5832690824980725,6052,10376
part2,tennis,24,00024.png,00024.png,0.5711751288333192,6761,11837
part2,tennis,25,00025.png,00025.png,0.550029855838949,6448,11723
part2,tennis,26,00026.png,00026.png,0.5523809523809524,5626,10185
part2,tennis,27,00027.png,00027.png,0.5643009089151034,5836,10342
part2,tennis,28,00028.png,00028.png,0.5325020628953883,5808,10907
part2,tennis,29,00029.png,00029.png,0.505916381803839,5772,11409
part2,tennis,3,00003.png,00003.png,0.5547470954113367,4727,8521
part2,tennis,30,00030.png,00030.png,0.5005077001184634,5915,11818
part2,tennis,31,00031.png,00031.png,0.4767737830098632,5994,12572
part2,tennis,32,00032.png,00032.png,0.4770185383790409,6227,13054
part2,tennis,33,00033.png,00033.png,0.4856115107913669,6345,13066
part2,tennis,34,00034.png,00034.png,0.47698089570936425,6092,12772
part2,tennis,35,00035.png,00035.png,0.5022411304413887,6611,13163
part2,tennis,36,00036.png,00036.png,0.4968985875495105,6649,13381
part2,tennis,37,00037.png,00037.png,0.48161396480183144,6732,13978
part2,tennis,38,00038.png,00038.png,0.45748359325382826,6483,14171
part2,tennis,39,00039.png,00039.png,0.4671502590673575,6762,14475
part2,tennis,4,00004.png,00004.png,0.5685851318944845,4742,8340
part2,tennis,40,00040.png,00040.png,0.4706574394463668,6801,14450
part2,tennis,41,00041.png,00041.png,0.4677807578570937,6802,14541
part2,tennis,42,00042.png,00042.png,0.4800855005343783,6738,14035
part2,tennis,43,00043.png,00043.png,0.48834455709316954,6599,13513
part2,tennis,44,00044.png,00044.png,0.4825961392308862,6350,13158
part2,tennis,45,00045.png,00045.png,0.5455482983843245,6348,11636
part2,tennis,46,00046.png,00046.png,0.533300321861847,6462,12117
part2,tennis,47,00047.png,00047.png,0.5524848677922906,6937,12556
part2,tennis,48,00048.png,00048.png,0.5507223982075253,7128,12943
part2,tennis,49,00049.png,00049.png,0.5545847962766391,6792,12247
part2,tennis,5,00005.png,00005.png,0.5966684155299056,4549,7624
part2,tennis,50,00050.png,00050.png,0.6080057699242697,6744,11092
part2,tennis,51,00051.png,00051.png,0.6048262723396535,6667,11023
part2,tennis,52,00052.png,00052.png,0.6239040147669589,6760,10835
part2,tennis,53,00053.png,00053.png,0.6269639252172386,7143,11393
part2,tennis,54,00054.png,00054.png,0.5945361805135299,6877,11567
part2,tennis,55,00055.png,00055.png,0.5696911365823781,6511,11429
part2,tennis,56,00056.png,00056.png,0.5800721132706006,6596,11371
part2,tennis,57,00057.png,00057.png,0.5879726651480638,6453,10975
part2,tennis,58,00058.png,00058.png,0.6179565345658373,6284,10169
part2,tennis,59,00059.png,00059.png,0.6120634920634921,5784,9450
part2,tennis,6,00006.png,00006.png,0.5732927910807044,4525,7893
part2,tennis,60,00060.png,00060.png,0.5973067331670823,5988,10025
part2,tennis,61,00061.png,00061.png,0.6169536695366954,6019,9756
part2,tennis,62,00062.png,00062.png,0.6186186186186187,5768,9324
part2,tennis,63,00063.png,00063.png,0.6139004851630373,5441,8863
part2,tennis,64,00064.png,00064.png,0.6350524475524476,5812,9152
part2,tennis,65,00065.png,00065.png,0.5851169242964724,5905,10092
part2,tennis,66,00066.png,00066.png,0.5871302957633893,5876,10008
part2,tennis,67,00067.png,00067.png,0.5843654822335025,5756,9850
part2,tennis,68,00068.png,00068.png,0.5953616435454834,5622,9443
part2,tennis,69,00069.png,00069.png,0.6156079044322876,5514,8957
part2,tennis,7,00007.png,00007.png,0.5407667081307249,4782,8843
part2,tennis,8,00008.png,00008.png,0.5362782992821645,4856,9055
part2,tennis,9,00009.png,00009.png,0.5464450185330787,4865,8903
part2,tennis,mean,70,70,0.5520621043330756,,
