phase,sequence,frame_index,evaluation_mode,psnr,ssim,valid_pixels
part1,bmx-trees,0,background_preservation,33.70993507533545,0.9112089475248438,97378
part1,bmx-trees,1,background_preservation,33.276734584319634,0.90452054216249,98319
part1,bmx-trees,10,background_preservation,33.0475819028111,0.9001910541564758,97922
part1,bmx-trees,11,background_preservation,32.64232755793763,0.8943500636881773,98059
part1,bmx-trees,12,background_preservation,32.98231378108017,0.8971438146187072,98104
part1,bmx-trees,13,background_preservation,33.10998136911094,0.9033024101644754,98249
part1,bmx-trees,14,background_preservation,33.04372236705144,0.9058964085983481,98950
part1,bmx-trees,15,background_preservation,32.75667726368003,0.900748852133285,99477
part1,bmx-trees,16,background_preservation,32.830411342021335,0.899006735023167,99973
part1,bmx-trees,17,background_preservation,33.27879888738546,0.9081737926963952,101712
part1,bmx-trees,18,background_preservation,33.31958843809962,0.9091151674603263,101211
part1,bmx-trees,19,background_preservation,33.38011766950106,0.9093636820161498,100588
part1,bmx-trees,2,background_preservation,33.32291916464345,0.9036415461897589,98129
part1,bmx-trees,20,background_preservation,33.43448584104819,0.9101262342836396,100598
part1,bmx-trees,21,background_preservation,33.10101424873602,0.9092367455793385,100387
part1,bmx-trees,22,background_preservation,32.49522447497886,0.8985294832866291,100568
part1,bmx-trees,23,background_preservation,33.10119462825142,0.9069580844198055,100662
part1,bmx-trees,24,background_preservation,33.06487177780872,0.9088745898608057,100448
part1,bmx-trees,25,background_preservation,33.17507467032225,0.911953654673191,100495
part1,bmx-trees,26,background_preservation,33.076472599338345,0.91374279112104,99626
part1,bmx-trees,27,background_preservation,32.7408265528635,0.912344329791474,99600
part1,bmx-trees,28,background_preservation,31.5800276471714,0.8992360934594444,99598
part1,bmx-trees,29,background_preservation,31.32601054035414,0.8958402573920985,99646
part1,bmx-trees,3,background_preservation,32.812936565601376,0.8958038350101557,98294
part1,bmx-trees,30,background_preservation,32.41863737830531,0.9120751113904219,99625
part1,bmx-trees,31,background_preservation,32.734609432269345,0.9131218015651698,99499
part1,bmx-trees,32,background_preservation,32.687535417862726,0.9135181047114629,99420
part1,bmx-trees,33,background_preservation,32.111117512649926,0.9092074033198589,99576
part1,bmx-trees,34,background_preservation,29.483076660446706,0.8856786904268195,99628
part1,bmx-trees,35,background_preservation,30.957002260541337,0.9069297793823271,99735
part1,bmx-trees,36,background_preservation,31.569657744526875,0.9153629531978651,99744
part1,bmx-trees,37,background_preservation,31.97410163241537,0.9186155563244256,99742
part1,bmx-trees,38,background_preservation,31.876430905670134,0.9189639938266838,99761
part1,bmx-trees,39,background_preservation,31.732000044457504,0.916759215996882,100059
part1,bmx-trees,4,background_preservation,32.67093875219635,0.893838569090621,98436
part1,bmx-trees,40,background_preservation,31.65648418855225,0.917215333725935,100288
part1,bmx-trees,41,background_preservation,31.31902155827009,0.9111869128989658,100439
part1,bmx-trees,42,background_preservation,32.07306652346628,0.9176782965802087,100531
part1,bmx-trees,43,background_preservation,31.862995416533302,0.9151774147335033,100506
part1,bmx-trees,44,background_preservation,32.10643471623436,0.9183593427463603,100503
part1,bmx-trees,45,background_preservation,31.75056702220312,0.913680805364874,100614
part1,bmx-trees,46,background_preservation,31.774754346877817,0.9124435559597135,100678
part1,bmx-trees,47,background_preservation,31.598090612169347,0.9127976195581738,100740
part1,bmx-trees,48,background_preservation,32.168693782776586,0.9178546052068028,100630
part1,bmx-trees,49,background_preservation,32.23891218577454,0.9178011659029478,100590
part1,bmx-trees,5,background_preservation,32.89251814416453,0.8993006828613309,98315
part1,bmx-trees,50,background_preservation,31.919647808012392,0.9181747987800543,100616
part1,bmx-trees,51,background_preservation,31.761469188916355,0.9181735490018649,100859
part1,bmx-trees,52,background_preservation,30.501401808509815,0.8981212801196754,101043
part1,bmx-trees,53,background_preservation,31.340358379445178,0.9087024883313359,101057
part1,bmx-trees,54,background_preservation,32.445806125967195,0.9157968775859898,101421
part1,bmx-trees,55,background_preservation,31.850678388700427,0.9062891635760632,101627
part1,bmx-trees,56,background_preservation,32.00160780785437,0.9145166417416056,101859
part1,bmx-trees,57,background_preservation,31.07733292400749,0.9083647366595394,102157
part1,bmx-trees,58,background_preservation,31.819975343607634,0.918768132354963,102219
part1,bmx-trees,59,background_preservation,31.10698871571534,0.9060096395412705,102080
part1,bmx-trees,6,background_preservation,32.449709730792826,0.8934039176800228,98231
part1,bmx-trees,60,background_preservation,32.284275455329166,0.9157286724330505,101992
part1,bmx-trees,61,background_preservation,32.47677207674637,0.9176441954860937,102400
part1,bmx-trees,62,background_preservation,32.76166891623751,0.9233334106188634,103239
part1,bmx-trees,63,background_preservation,30.775736318237666,0.9040975534032945,103152
part1,bmx-trees,64,background_preservation,32.229458814098265,0.9235977297701371,103056
part1,bmx-trees,65,background_preservation,31.588809442761082,0.914156038701729,103065
part1,bmx-trees,66,background_preservation,31.573654008653545,0.9122729356965851,103192
part1,bmx-trees,67,background_preservation,32.25333968299643,0.921142285365085,103260
part1,bmx-trees,68,background_preservation,31.257243636481,0.9046899764861831,103311
part1,bmx-trees,69,background_preservation,31.123346479781375,0.9023612710760069,103148
part1,bmx-trees,7,background_preservation,32.83856485455506,0.8995300234318994,98019
part1,bmx-trees,70,background_preservation,31.799198618957043,0.9130935881334896,102547
part1,bmx-trees,71,background_preservation,31.133512165158628,0.9042258002487823,102177
part1,bmx-trees,72,background_preservation,31.083826948630733,0.9022820945733623,102049
part1,bmx-trees,73,background_preservation,31.670743369859043,0.9091282867492955,101919
part1,bmx-trees,74,background_preservation,31.027089931706307,0.8961233281793198,101974
part1,bmx-trees,75,background_preservation,31.135988282173344,0.8979454236835959,101997
part1,bmx-trees,76,background_preservation,30.972210548801936,0.8930131462579546,102126
part1,bmx-trees,77,background_preservation,31.059502363948987,0.8953286004072138,102188
part1,bmx-trees,78,background_preservation,30.454747772562776,0.8806406317644055,102155
part1,bmx-trees,79,background_preservation,30.205809552182135,0.8756699955526284,102149
part1,bmx-trees,8,background_preservation,32.44886701793152,0.8954288570204543,97997
part1,bmx-trees,9,background_preservation,32.79310347255075,0.8886042576800979,97932
part1,bmx-trees,mean,background_preservation,32.09360426424606,0.9070404419771686,
