phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part1,bmx-trees,0,frame_0000.png,00000.png,0.5574420818787686,3513,6302
part1,bmx-trees,1,frame_0001.png,00001.png,0.5831903945111492,3400,5830
part1,bmx-trees,10,frame_0010.png,00010.png,0.3940029985007496,2628,6670
part1,bmx-trees,11,frame_0011.png,00011.png,0.4187109553557824,2748,6563
part1,bmx-trees,12,frame_0012.png,00012.png,0.41096309906599293,2684,6531
part1,bmx-trees,13,frame_0013.png,00013.png,0.3670131458269642,2401,6542
part1,bmx-trees,14,frame_0014.png,00014.png,0.33963155408597073,2157,6351
part1,bmx-trees,15,frame_0015.png,00015.png,0.2902490639752564,1783,6143
part1,bmx-trees,16,frame_0016.png,00016.png,0.2584955460244144,1567,6062
part1,bmx-trees,17,frame_0017.png,00017.png,0.19631604459524965,1215,6189
part1,bmx-trees,18,frame_0018.png,00018.png,0.20788253477588872,1345,6470
part1,bmx-trees,19,frame_0019.png,00019.png,0.1675213675213675,1176,7020
part1,bmx-trees,2,frame_0002.png,00002.png,0.5200264812975836,3142,6042
part1,bmx-trees,20,frame_0020.png,00020.png,0.13041042162767894,931,7139
part1,bmx-trees,21,frame_0021.png,00021.png,0.1350780920219502,960,7107
part1,bmx-trees,22,frame_0022.png,00022.png,0.10473437930085329,761,7266
part1,bmx-trees,23,frame_0023.png,00023.png,0.11576521621255252,854,7377
part1,bmx-trees,24,frame_0024.png,00024.png,0.1131651921299353,857,7573
part1,bmx-trees,25,frame_0025.png,00025.png,0.07418474730414447,571,7697
part1,bmx-trees,26,frame_0026.png,00026.png,0.05110143442622951,399,7808
part1,bmx-trees,27,frame_0027.png,00027.png,0.05193127502906601,402,7741
part1,bmx-trees,28,frame_0028.png,00028.png,0.06588791179944875,502,7619
part1,bmx-trees,29,frame_0029.png,00029.png,0.07030941408821594,534,7595
part1,bmx-trees,3,frame_0003.png,00003.png,0.4911367702065377,3020,6149
part1,bmx-trees,30,frame_0030.png,00030.png,0.08021817214314221,603,7517
part1,bmx-trees,31,frame_0031.png,00031.png,0.08363970588235294,637,7616
part1,bmx-trees,32,frame_0032.png,00032.png,0.06655552705822006,519,7798
part1,bmx-trees,33,frame_0033.png,00033.png,0.0616677440206852,477,7735
part1,bmx-trees,34,frame_0034.png,00034.png,0.05460750853242321,416,7618
part1,bmx-trees,35,frame_0035.png,00035.png,0.044908202351076475,340,7571
part1,bmx-trees,36,frame_0036.png,00036.png,0.03644945588042481,278,7627
part1,bmx-trees,37,frame_0037.png,00037.png,0.023157337567817918,175,7557
part1,bmx-trees,38,frame_0038.png,00038.png,0.01218234215352371,93,7634
part1,bmx-trees,39,frame_0039.png,00039.png,0.009019607843137255,69,7650
part1,bmx-trees,4,frame_0004.png,00004.png,0.4958784548246323,3068,6187
part1,bmx-trees,40,frame_0040.png,00040.png,0.003319171534784918,25,7532
part1,bmx-trees,41,frame_0041.png,00041.png,0.0,0,7564
part1,bmx-trees,42,frame_0042.png,00042.png,0.0,0,7572
part1,bmx-trees,43,frame_0043.png,00043.png,0.0,0,7574
part1,bmx-trees,44,frame_0044.png,00044.png,0.0,0,7611
part1,bmx-trees,45,frame_0045.png,00045.png,0.0,0,7547
part1,bmx-trees,46,frame_0046.png,00046.png,0.0,0,7541
part1,bmx-trees,47,frame_0047.png,00047.png,0.0,0,7518
part1,bmx-trees,48,frame_0048.png,00048.png,0.0,0,7417
part1,bmx-trees,49,frame_0049.png,00049.png,0.0,0,7213
part1,bmx-trees,5,frame_0005.png,00005.png,0.4784688995215311,3000,6270
part1,bmx-trees,50,frame_0050.png,00050.png,0.0,0,7153
part1,bmx-trees,51,frame_0051.png,00051.png,0.0,0,6952
part1,bmx-trees,52,frame_0052.png,00052.png,0.0,0,6768
part1,bmx-trees,53,frame_0053.png,00053.png,0.0,0,6617
part1,bmx-trees,54,frame_0054.png,00054.png,0.0,0,6566
part1,bmx-trees,55,frame_0055.png,00055.png,0.0,0,6587
part1,bmx-trees,56,frame_0056.png,00056.png,0.0,0,6556
part1,bmx-trees,57,frame_0057.png,00057.png,0.0,0,6567
part1,bmx-trees,58,frame_0058.png,00058.png,0.0,0,6560
part1,bmx-trees,59,frame_0059.png,00059.png,0.0,0,6450
part1,bmx-trees,6,frame_0006.png,00006.png,0.46025499763891076,2924,6353
part1,bmx-trees,60,frame_0060.png,00060.png,0.0,0,6339
part1,bmx-trees,61,frame_0061.png,00061.png,0.0,0,6137
part1,bmx-trees,62,frame_0062.png,00062.png,0.0,0,6062
part1,bmx-trees,63,frame_0063.png,00063.png,0.0,0,6149
part1,bmx-trees,64,frame_0064.png,00064.png,0.0,0,6245
part1,bmx-trees,65,frame_0065.png,00065.png,0.0,0,6236
part1,bmx-trees,66,frame_0066.png,00066.png,0.0,0,6109
part1,bmx-trees,67,frame_0067.png,00067.png,0.0,0,6041
part1,bmx-trees,68,frame_0068.png,00068.png,0.0,0,5990
part1,bmx-trees,69,frame_0069.png,00069.png,0.0,0,6153
