phase,sequence,frame_index,predicted_file,reference_file,iou,intersection,union
part2,dance-twirl,0,00000.png,00000.png,0.8810087948275169,21938,24901
part2,dance-twirl,1,00001.png,00001.png,0.8893439425852251,22801,25638
part2,dance-twirl,10,00010.png,00010.png,0.9213263569312236,29230,31726
part2,dance-twirl,11,00011.png,00011.png,0.9279490100686639,30137,32477
part2,dance-twirl,12,00012.png,00012.png,0.9302835516039889,30971,33292
part2,dance-twirl,13,00013.png,00013.png,0.9343833580980684,31442,33650
part2,dance-twirl,14,00014.png,00014.png,0.9372225937861008,30829,32894
part2,dance-twirl,15,00015.png,00015.png,0.9244718581341558,29976,32425
part2,dance-twirl,16,00016.png,00016.png,0.923163036841034,27213,29478
part2,dance-twirl,17,00017.png,00017.png,0.9238875442189537,24811,26855
part2,dance-twirl,18,00018.png,00018.png,0.920192421434486,23337,25361
part2,dance-twirl,19,00019.png,00019.png,0.9112647417649451,22408,24590
part2,dance-twirl,2,00002.png,00002.png,0.8867205194020836,23491,26492
part2,dance-twirl,20,00020.png,00020.png,0.8941394877853255,21192,23701
part2,dance-twirl,21,00021.png,00021.png,0.9009399229003335,20800,23087
part2,dance-twirl,22,00022.png,00022.png,0.8847036411655194,20434,23097
part2,dance-twirl,23,00023.png,00023.png,0.9007917350584146,18659,20714
part2,dance-twirl,24,00024.png,00024.png,0.8857232031389335,19865,22428
part2,dance-twirl,25,00025.png,00025.png,0.9051344109257499,20943,23138
part2,dance-twirl,26,00026.png,00026.png,0.9192938209331651,21870,23790
part2,dance-twirl,27,00027.png,00027.png,0.9199762423282518,23234,25255
part2,dance-twirl,28,00028.png,00028.png,0.9183027471078118,24369,26537
part2,dance-twirl,29,00029.png,00029.png,0.9278154106689246,26298,28344
part2,dance-twirl,3,00003.png,00003.png,0.8965109839394498,24282,27085
part2,dance-twirl,30,00030.png,00030.png,0.923960831334932,27741,30024
part2,dance-twirl,31,00031.png,00031.png,0.9125746947259028,28100,30792
part2,dance-twirl,32,00032.png,00032.png,0.8843267961227579,27461,31053
part2,dance-twirl,33,00033.png,00033.png,0.8734982106339468,27337,31296
part2,dance-twirl,34,00034.png,00034.png,0.8142633949085561,26580,32643
part2,dance-twirl,35,00035.png,00035.png,0.8404116189427313,24419,29056
part2,dance-twirl,36,00036.png,00036.png,0.8413962488835963,22610,26872
part2,dance-twirl,37,00037.png,00037.png,0.8261635027556644,21586,26128
part2,dance-twirl,38,00038.png,00038.png,0.8345734033311931,22097,26477
part2,dance-twirl,39,00039.png,00039.png,0.8173285443209541,24121,29512
part2,dance-twirl,4,00004.png,00004.png,0.8958074193312359,24486,27334
part2,dance-twirl,40,00040.png,00040.png,0.8749568221070811,27863,31845
part2,dance-twirl,41,00041.png,00041.png,0.9315520513943641,31901,34245
part2,dance-twirl,42,00042.png,00042.png,0.9215155245520449,33686,36555
part2,dance-twirl,43,00043.png,00043.png,0.9264895266629872,35252,38049
part2,dance-twirl,44,00044.png,00044.png,0.9273507608271557,35652,38445
part2,dance-twirl,45,00045.png,00045.png,0.9214707914331772,36012,39081
part2,dance-twirl,46,00046.png,00046.png,0.9224673868732165,36205,39248
part2,dance-twirl,47,00047.png,00047.png,0.8931596413888752,36064,40378
part2,dance-twirl,48,00048.png,00048.png,0.9338399527611615,36374,38951
part2,dance-twirl,49,00049.png,00049.png,0.9326499231163506,36392,39020
part2,dance-twirl,5,00005.png,00005.png,0.8972550445373568,24679,27505
part2,dance-twirl,50,00050.png,00050.png,0.9406369555853962,37126,39469
part2,dance-twirl,51,00051.png,00051.png,0.9368044614499712,37460,39987
part2,dance-twirl,52,00052.png,00052.png,0.950535545387152,37184,39119
part2,dance-twirl,53,00053.png,00053.png,0.9372956532758839,36981,39455
part2,dance-twirl,54,00054.png,00054.png,0.9473438108845305,36468,38495
part2,dance-twirl,55,00055.png,00055.png,0.9532720360234044,35354,37087
part2,dance-twirl,56,00056.png,00056.png,0.9505890235051085,34052,35822
part2,dance-twirl,57,00057.png,00057.png,0.9472800925925926,32738,34560
part2,dance-twirl,58,00058.png,00058.png,0.9513901238959037,32098,33738
part2,dance-twirl,59,00059.png,00059.png,0.9513082039911308,32178,33825
part2,dance-twirl,6,00006.png,00006.png,0.8966562060383075,24858,27723
part2,dance-twirl,60,00060.png,00060.png,0.9605915565618641,33516,34891
part2,dance-twirl,61,00061.png,00061.png,0.9597124253933803,35375,36860
part2,dance-twirl,62,00062.png,00062.png,0.9460507069722087,38807,41020
part2,dance-twirl,63,00063.png,00063.png,0.9303972530878917,39019,41938
part2,dance-twirl,64,00064.png,00064.png,0.930073594207731,39051,41987
part2,dance-twirl,65,00065.png,00065.png,0.9166292506557648,38789,42317
part2,dance-twirl,66,00066.png,00066.png,0.9313981615868409,38504,41340
part2,dance-twirl,67,00067.png,00067.png,0.9224032145521042,38336,41561
part2,dance-twirl,68,00068.png,00068.png,0.9302623315135997,38511,41398
part2,dance-twirl,69,00069.png,00069.png,0.9301457391054634,38868,41787
part2,dance-twirl,7,00007.png,00007.png,0.9072993504348783,24723,27249
part2,dance-twirl,70,00070.png,00070.png,0.9376689346630628,40241,42916
part2,dance-twirl,71,00071.png,00071.png,0.9396469200115763,42208,44919
part2,dance-twirl,72,00072.png,00072.png,0.936601265418291,43965,46941
part2,dance-twirl,73,00073.png,00073.png,0.9388278764240994,45735,48715
part2,dance-twirl,74,00074.png,00074.png,0.9451600079507056,47551,50310
part2,dance-twirl,75,00075.png,00075.png,0.9502560490395782,49916,52529
part2,dance-twirl,76,00076.png,00076.png,0.9517427762249412,51416,54023
part2,dance-twirl,77,00077.png,00077.png,0.953662290629244,52666,55225
part2,dance-twirl,78,00078.png,00078.png,0.9507085092678738,53137,55892
part2,dance-twirl,79,00079.png,00079.png,0.9489526709988136,53594,56477
part2,dance-twirl,8,00008.png,00008.png,0.9164394098314803,26212,28602
part2,dance-twirl,80,00080.png,00080.png,0.9521708926710664,54826,57580
part2,dance-twirl,81,00081.png,00081.png,0.950809148957735,56286,59198
part2,dance-twirl,82,00082.png,00082.png,0.9453598593747433,57545,60871
